,RSI 5,AVG DAILY RETURN 5,AVG WEEKLY RETURN 5,RATIO 5,RSI 10,AVG DAILY RETURN 10,AVG WEEKLY RETURN 10,RATIO 10,RSI 30,AVG DAILY RETURN 30,AVG WEEKLY RETURN 30,AVG MONTHLY RETURN 30,RATIO 30,RSI 60,AVG DAILY RETURN 60,AVG WEEKLY RETURN 60,AVG MONTHLY RETURN 60,RATIO 60,MACD 10_30,MACD 5_10,MACD 2_10,MACD 10_30 DIFF,MACD 5_10 DIFF,MACD 2_10 DIFF
320,19.32304779035303,-0.6823102043589775,-1.101247712008128,1.009311606818659,39.35083681166187,-0.2019369119029975,0.02222271902898432,0.9970224374025131,50.70036860284412,-0.06348753996056873,-0.1582485872952893,1.894717110683748,0.9888889871796372,38.83995983125531,-0.2122913261722363,-1.806432701395684,-4.391399219564621,0.9903968860289558,-0.9971361743856164,-1.001707695469712,-1.883816320245916,0.02865447382773567,-0.06948992411296118,-0.1760210673014377
4074,70.46034643733044,-0.4295395222299181,-2.390238959332057,1.021480613531068,63.30769144463644,-0.2415741899279156,-1.261690372483075,1.024432171962058,53.40761294133097,-0.2694843473913795,-1.580602533297767,-3.051112585555804,1.029685780921956,51.83732092047475,-0.3677847155324885,-1.347746250325875,-2.749612073333471,1.039558348544808,-30.33253688719037,-29.70048772638489,-53.06148626154118,0.1861018295512054,-2.459941702178071,-3.732606090198885
5789,45.68592765915507,-0.443921221549247,-3.571955022112918,1.020737510383545,44.11900478232495,-0.2640415235418387,-3.156785731057917,1.043404187928718,46.46809816313306,-0.1950650781701358,-2.090662438655261,-4.742864550544799,1.068628777843015,51.86615946404775,-0.1200709323765791,-1.520736662247731,-3.248490248820899,1.064059038913575,-4.990498363237577,-4.607345500136866,-7.539987228855949,-0.2332119282622713,-0.2925895806514873,-0.04583194617070063
4307,68.87015947967373,0.2506338842433957,-0.7101644496558681,1.001849582092678,48.59560454214598,0.04034166929978798,-1.401528610825853,1.003652397017619,51.09741901605201,0.175236267943359,-0.03761061975186319,2.41887971261348,0.9839072478490157,46.12067356744047,0.09699575443678075,-0.3021569990560375,1.99673889034209,0.9407960498148759,-0.3401769705182307,-0.5543846852851626,-0.8997752594225314,-0.03466653376380613,0.01813358249086328,-0.01379784959735275
2594,26.72288913144884,-0.1672841670339265,-1.207242538084066,0.9997801824875139,55.5928337509233,0.0513378625564166,-0.5380636010250888,0.9977848209338365,42.19280346464065,-0.09918214064871883,-1.963926503859217,-4.406521708258204,1.008689350746847,47.53526657144126,0.01244959517124274,-1.24233497087376,-2.079031576217575,1.021412099844902,-2.585741067701768,-2.128026453653966,-3.533788299560548,0.1321245284840344,-0.07395650690252609,-0.02426117405747164
5244,45.76306348180454,0.05516050878925882,-0.7467296792177892,0.9937708358573214,57.1573992522134,-0.04639797813848492,-1.673395359079875,1.002719077940905,54.31361056883773,-0.02777521430579374,-1.00650529665194,-1.034357884226891,1.007273331284968,50.66106499348181,-0.04305259252046707,-0.9700681679451486,-0.8961170614017562,1.005077049006136,-3.670343935641156,-3.847964593135941,-5.85619645552201,-0.1682842101752442,0.001166580662584238,0.110885920669098
1827,73.12807908422613,2.097495144482691,0.3915866027661208,0.998407255157072,73.91670852998459,1.512297538006777,2.6181580932627,0.9609031445571837,62.2154053928392,1.059775578824568,0.8099011931678166,4.303362803929739,0.9441366806429716,58.69330269876122,0.5657591541628593,-0.4038408475004333,0.8670295011257536,0.9465180144287759,-3.64056667055668,-2.469162981437918,-6.299851458000433,0.7415652881969521,0.01034485788053985,-1.701513764352541
2879,7.689722756466111,-0.8940709174409426,-2.372343636187992,1.016950757274329,44.10575969432089,-0.7706172386275353,-1.320047830161621,1.02672653347919,62.24474246106123,-0.07830876214240394,0.1266749160608107,2.679540992540327,1.025403677456981,53.99205032047399,-0.3093433885153839,-2.971263152657397,-8.37900992948142,1.103150396547929,-2.273795274602122,-2.685892694646654,-4.463219787135259,-0.2186597509002013,-0.2216674689090539,-0.006274529659371808
5140,41.16669777519191,0.08937784867329616,-1.086807538927626,1.007798973386949,47.70944942120067,-0.04034022092274152,1.226949972665944,0.9871750472519181,63.72683133907191,0.294376499936749,3.102235032030755,14.55429837405005,0.9072501478649719,57.29124592992043,0.02537816982825552,1.275315865205676,9.523496693392183,0.8450317727535688,0.3004134964034009,-0.40875750165997,-0.8804243145567003,0.005066490546235869,-0.06963640270811133,-0.08330303249937288
4796,22.64602909515851,-0.8464692871393705,-3.329364623105877,1.030769218580458,25.42086580905173,-0.5763064704217157,-2.409693684046221,1.040528120557274,47.40544494891883,0.007896046813505184,-1.475523198041549,-2.829268633405733,1.050133944603785,46.62558211493656,-0.1251799504178353,-1.979945458406986,-5.278308386588355,1.077739405488705,-0.5375337061877374,-0.5356470975008865,-0.9716227126843986,-0.0145450740266071,0.00366447044141438,0.03268671902743403
3819,85.23532299254606,0.406070078311938,2.025681052836035,0.9695836779884196,88.85247374317122,0.7349919215292005,3.065244640094362,0.9418515345884377,61.64171838123841,0.2966664031824075,1.043884532475875,6.516188271786878,0.902825027212419,61.43485192683133,0.2450418692204323,1.585083526833929,10.8459649538142,0.8537786965024642,-1.769695549719728,-5.802186538233883,-9.400902765447427,0.9889325333014938,-0.4587842999082739,-1.178587156353586
4661,39.49984917830248,0.3218590019022365,-0.3467990387080035,1.00468394860747,48.8933933924525,0.09344243605587711,-0.5248519664199334,1.000468475805862,51.73517522349258,-0.06846044009518566,-0.5860348199014009,0.3340988450346605,1.007455197870731,51.21232257075294,0.0642167884166102,0.09254286507426945,3.321667420534166,0.9900116406217823,-0.4655986936910415,-0.3980207081997031,-0.6760184562567515,-0.008060633844876541,-0.01111544117783136,-0.1002375458226066
